result_family,dataset,model,hop,method,PE,beta,num_clients,num_iter,t,alpha,n_reps,mean_acc_pct,std_acc_pct,source_files,source_summary_path,accuracy
client_count_ablation,Cora,GCN,1,FedProp-Adj,no,1,1,50,0.1,0.5,5,80.72,0.2774887385102323,1,experiments/results/current/ablations/client_count/summary_client_count_live_preferred.csv,80.72 +/- 0.28 (n=5)
client_count_ablation,Cora,GCN,1,FedProp-Adj,no,10000,8,50,0.1,0.5,9,72.87777777777778,1.225538430423317,2,experiments/results/current/ablations/client_count/summary_client_count_live_preferred.csv,72.88 +/- 1.23 (n=9)
client_count_ablation,Cora,GCN,1,FedProp-Diff,no,1,1,50,0.1,0.5,5,80.72,0.2774887385102323,1,experiments/results/current/ablations/client_count/summary_client_count_live_preferred.csv,80.72 +/- 0.28 (n=5)
client_count_ablation,Cora,GCN,1,FedProp-Diff,no,10000,1,50,0.1,0.5,5,80.72,0.2774887385102323,1,experiments/results/current/ablations/client_count/summary_client_count_live_preferred.csv,80.72 +/- 0.28 (n=5)
client_count_ablation,Cora,GCN,1,Full-graph,no,1,1,50,0.1,0.5,5,80.72,0.2774887385102323,1,experiments/results/current/ablations/client_count/summary_client_count_live_preferred.csv,80.72 +/- 0.28 (n=5)
client_count_ablation,Cora,GCN,1,Full-graph,no,10000,1,50,0.1,0.5,5,80.72,0.2774887385102323,1,experiments/results/current/ablations/client_count/summary_client_count_live_preferred.csv,80.72 +/- 0.28 (n=5)
client_count_ablation,Cora,GCN,1,Zero-hop,no,1,8,50,0.1,0.5,9,66.5,1.7088007490635078,2,experiments/results/current/ablations/client_count/summary_client_count_live_preferred.csv,66.50 +/- 1.71 (n=9)
client_count_ablation,Cora,GCN,1,Zero-hop,no,10000,1,50,0.1,0.5,5,80.72,0.2774887385102323,1,experiments/results/current/ablations/client_count/summary_client_count_live_preferred.csv,80.72 +/- 0.28 (n=5)
primary_10_client,Amazon-ratings,GCN,1,FedProp-Adj,no,10,10,50,0.1,0.5,9,38.84442992723248,0.3582891405137742,1,experiments/results/current/summary_current_live_preferred.csv,38.84 +/- 0.36 (n=9)
primary_10_client,Amazon-ratings,GCN,1,FedProp-Adj,no,10000,10,50,0.1,0.5,10,40.20578147966683,0.3540496215869603,1,experiments/results/current/summary_current_live_preferred.csv,40.21 +/- 0.35 (n=10)
primary_10_client,Amazon-ratings,GCN,1,FedProp-Diff,no,10,10,50,0.1,0.5,10,38.664053568512166,0.4896654736503138,1,experiments/results/current/summary_current_live_preferred.csv,38.66 +/- 0.49 (n=10)
primary_10_client,Amazon-ratings,GCN,1,FedProp-Diff,no,10000,10,50,0.1,0.5,10,40.05552833578312,0.421279073549007,1,experiments/results/current/summary_current_live_preferred.csv,40.06 +/- 0.42 (n=10)
primary_10_client,Amazon-ratings,GCN,1,Full-graph,no,10,10,50,0.1,0.5,10,41.15792911971256,0.4588740207276388,1,experiments/results/current/summary_current_live_preferred.csv,41.16 +/- 0.46 (n=10)
primary_10_client,Amazon-ratings,GCN,1,Full-graph,no,10000,10,50,0.1,0.5,9,43.27036492641588,0.4844201887489721,1,experiments/results/current/summary_current_live_preferred.csv,43.27 +/- 0.48 (n=9)
primary_10_client,Amazon-ratings,GCN,1,Zero-hop,no,10,10,50,0.1,0.5,8,35.84639882410583,2.404494022202948,1,experiments/results/current/summary_current_live_preferred.csv,35.85 +/- 2.40 (n=8)
primary_10_client,Amazon-ratings,GCN,1,Zero-hop,no,10000,10,50,0.1,0.5,10,37.50939082149273,1.7874095240559127,1,experiments/results/current/summary_current_live_preferred.csv,37.51 +/- 1.79 (n=10)
primary_10_client,Amazon-ratings,GCN,2,FedProp-Adj,no,10,10,50,0.1,0.5,10,39.59170341335946,0.378955544988356,1,experiments/results/current/summary_current_live_preferred.csv,39.59 +/- 0.38 (n=10)
primary_10_client,Amazon-ratings,GCN,2,FedProp-Adj,no,10000,10,50,0.1,0.5,10,40.66634002939736,0.3926446278024261,1,experiments/results/current/summary_current_live_preferred.csv,40.67 +/- 0.39 (n=10)
primary_10_client,Amazon-ratings,GCN,2,FedProp-Diff,no,10,10,50,0.1,0.5,10,39.252000653274536,0.598894379389275,1,experiments/results/current/summary_current_live_preferred.csv,39.25 +/- 0.60 (n=10)
primary_10_client,Amazon-ratings,GCN,2,FedProp-Diff,no,10000,10,50,0.1,0.5,10,40.46545810877021,0.3893131683420215,1,experiments/results/current/summary_current_live_preferred.csv,40.47 +/- 0.39 (n=10)
primary_10_client,Amazon-ratings,GCN,2,Full-graph,no,10,10,50,0.1,0.5,10,41.65441776906745,0.4058028989421971,1,experiments/results/current/summary_current_live_preferred.csv,41.65 +/- 0.41 (n=10)
primary_10_client,Amazon-ratings,GCN,2,Full-graph,no,10000,10,50,0.1,0.5,10,43.973542381185695,0.3919080112129345,1,experiments/results/current/summary_current_live_preferred.csv,43.97 +/- 0.39 (n=10)
primary_10_client,Amazon-ratings,GCN,2,Zero-hop,no,10,10,50,0.1,0.5,9,37.71208739361606,0.3570150998424922,1,experiments/results/current/summary_current_live_preferred.csv,37.71 +/- 0.36 (n=9)
primary_10_client,Amazon-ratings,GCN,2,Zero-hop,no,10000,10,50,0.1,0.5,10,36.82508574228319,1.998336215274634,1,experiments/results/current/summary_current_live_preferred.csv,36.83 +/- 2.00 (n=10)
primary_10_client,Citeseer,GAT,2,FedProp-Adj,no,1,10,50,0.1,0.5,10,68.0,1.0677078252031296,1,experiments/results/current/summary_current_live_preferred.csv,68.00 +/- 1.07 (n=10)
primary_10_client,Citeseer,GAT,2,FedProp-Adj,no,10,10,50,0.1,0.5,10,64.81,1.9427643535265255,1,experiments/results/current/summary_current_live_preferred.csv,64.81 +/- 1.94 (n=10)
primary_10_client,Citeseer,GAT,2,FedProp-Adj,no,10000,10,50,0.1,0.5,10,65.5,1.7845011752432245,1,experiments/results/current/summary_current_live_preferred.csv,65.50 +/- 1.78 (n=10)
primary_10_client,Citeseer,GAT,2,FedProp-Adj,yes,1,10,50,0.1,0.5,20,69.035,0.5896252154859366,2,experiments/results/current/summary_current_live_preferred.csv,69.03 +/- 0.59 (n=20)
