placement,table_id,table_caption,dataset,model,hop,partition,beta,method,PE,num_clients,accuracy,mean_acc_pct,std_acc_pct,n_reps,delta_vs_zerohop_pp,zerohop_acc_pct,num_iter,t,alpha,notes,source_summary_path,source_dataset,beta_label,zero_acc_pct,full_acc_pct,best_fedprop_method,best_fedprop_acc_pct,gain_vs_zero_pp,full_gap_pp,gap_closed_pct,gap_closed_clipped_pct,status,zero_n_reps,full_n_reps,fedprop_n_reps
appendix,A2,"Client-count scalability (Cora, GCN)",Cora,GCN,1,non-IID (beta=1),1,FedProp-Adj,no,1,80.72 +/- 0.28 (n=5),80.72,0.2774887385102323,5.0,14.751999999999995,65.968,50.0,0.1,0.5,,experiments/results/current/ablations/client_count/summary_client_count_live_preferred.csv,,,,,,,,,,,,,,
appendix,A2,"Client-count scalability (Cora, GCN)",Cora,GCN,1,non-IID (beta=1),1,FedProp-Diff,no,1,80.72 +/- 0.28 (n=5),80.72,0.2774887385102323,5.0,14.751999999999995,65.968,50.0,0.1,0.5,,experiments/results/current/ablations/client_count/summary_client_count_live_preferred.csv,,,,,,,,,,,,,,
appendix,A2,"Client-count scalability (Cora, GCN)",Cora,GCN,1,non-IID (beta=1),1,Full-graph,no,1,80.72 +/- 0.28 (n=5),80.72,0.2774887385102323,5.0,14.751999999999995,65.968,50.0,0.1,0.5,,experiments/results/current/ablations/client_count/summary_client_count_live_preferred.csv,,,,,,,,,,,,,,
appendix,A2,"Client-count scalability (Cora, GCN)",Cora,GCN,1,non-IID (beta=1),1,Zero-hop,no,8,66.50 +/- 1.71 (n=9),66.5,1.7088007490635078,9.0,0.5319999999999965,65.968,50.0,0.1,0.5,,experiments/results/current/ablations/client_count/summary_client_count_live_preferred.csv,,,,,,,,,,,,,,
appendix,A2,"Client-count scalability (Cora, GCN)",Cora,GCN,1,IID (beta=10000),10000,FedProp-Adj,no,8,72.88 +/- 1.23 (n=9),72.87777777777778,1.225538430423317,9.0,13.082655826558273,59.79512195121951,50.0,0.1,0.5,,experiments/results/current/ablations/client_count/summary_client_count_live_preferred.csv,,,,,,,,,,,,,,
appendix,A2,"Client-count scalability (Cora, GCN)",Cora,GCN,1,IID (beta=10000),10000,FedProp-Diff,no,1,80.72 +/- 0.28 (n=5),80.72,0.2774887385102323,5.0,20.924878048780492,59.79512195121951,50.0,0.1,0.5,,experiments/results/current/ablations/client_count/summary_client_count_live_preferred.csv,,,,,,,,,,,,,,
appendix,A2,"Client-count scalability (Cora, GCN)",Cora,GCN,1,IID (beta=10000),10000,Full-graph,no,1,80.72 +/- 0.28 (n=5),80.72,0.2774887385102323,5.0,20.924878048780492,59.79512195121951,50.0,0.1,0.5,,experiments/results/current/ablations/client_count/summary_client_count_live_preferred.csv,,,,,,,,,,,,,,
appendix,A2,"Client-count scalability (Cora, GCN)",Cora,GCN,1,IID (beta=10000),10000,Zero-hop,no,1,80.72 +/- 0.28 (n=5),80.72,0.2774887385102323,5.0,20.924878048780492,59.79512195121951,50.0,0.1,0.5,,experiments/results/current/ablations/client_count/summary_client_count_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,1,non-IID (beta=1),1,FedProp-Adj,no,10,66.34 +/- 1.45 (n=10),66.34,1.451589167468232,10.0,4.806666666666672,61.53333333333333,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,1,non-IID (beta=1),1,FedProp-Adj,yes,10,67.48 +/- 0.88 (n=10),67.48,0.879140994885852,10.0,5.9466666666666725,61.53333333333333,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
